data,selic,ipca,desemprego,anomes_id
2000-01-01,18.94,0.62,,200001
2000-02-01,18.87,0.13,,200002
2000-03-01,18.85,0.22,,200003
2000-04-01,18.62,0.42,,200004
2000-05-01,18.51,0.01,,200005
2000-06-01,18.04,0.23,,200006
2000-07-01,16.85,1.61,,200007
2000-08-01,16.52,1.31,,200008
2000-09-01,16.56,0.23,,200009
2000-10-01,16.6,0.14,,200010
2000-11-01,16.51,0.32,,200011
2000-12-01,16.19,0.59,,200012
2001-01-01,15.49,0.57,,200101
2001-02-01,15.2,0.46,,200102
2001-03-01,15.39,0.38,,200103
2001-04-01,16.02,0.58,,200104
2001-05-01,16.43,0.41,,200105
2001-06-01,17.28,0.52,,200106
2001-07-01,18.57,1.33,,200107
2001-08-01,19.0,0.7,,200108
2001-09-01,19.06,0.28,,200109
2001-10-01,19.06,0.83,,200110
2001-11-01,19.05,0.71,,200111
2001-12-01,19.05,0.65,,200112
2002-01-01,19.05,0.52,,200201
2002-02-01,18.97,0.36,,200202
2002-03-01,18.72,0.6,,200203
2002-04-01,18.38,0.8,,200204
2002-05-01,18.37,0.21,,200205
2002-06-01,18.1,0.42,,200206
2002-07-01,18.17,1.19,,200207
2002-08-01,17.84,0.65,,200208
2002-09-01,17.89,0.72,,200209
2002-10-01,19.59,1.31,,200210
2002-11-01,21.25,3.02,,200211
2002-12-01,23.03,2.1,,200212
2003-01-01,25.06,2.25,,200301
2003-02-01,25.68,1.57,,200302
2003-03-01,26.32,1.23,,200303
2003-04-01,26.32,0.97,,200304
2003-05-01,26.31,0.61,,200305
2003-06-01,26.09,-0.15,,200306
2003-07-01,25.36,0.2,,200307
2003-08-01,23.5,0.34,,200308
2003-09-01,21.02,0.78,,200309
2003-10-01,19.54,0.29,,200310
2003-11-01,18.31,0.34,,200311
2003-12-01,16.91,0.52,,200312
2004-01-01,16.32,0.76,,200401
2004-02-01,16.3,0.61,,200402
2004-03-01,16.19,0.47,,200403
2004-04-01,15.96,0.37,,200404
2004-05-01,15.77,0.51,,200405
2004-06-01,15.8,0.71,,200406
2004-07-01,15.77,0.91,,200407
2004-08-01,15.86,0.69,,200408
2004-09-01,16.09,0.33,,200409
2004-10-01,16.41,0.44,,200410
2004-11-01,16.96,0.69,,200411
2004-12-01,17.5,0.86,,200412
2005-01-01,17.93,0.58,,200501
2005-02-01,18.47,0.59,,200502
2005-03-01,18.97,0.61,,200503
2005-04-01,19.32,0.87,,200504
2005-05-01,19.61,0.49,,200505
2005-06-01,19.75,-0.02,,200506
2005-07-01,19.72,0.25,,200507
2005-08-01,19.75,0.17,,200508
2005-09-01,19.61,0.35,,200509
2005-10-01,19.25,0.75,,200510
2005-11-01,18.87,0.55,,200511
2005-12-01,18.24,0.36,,200512
2006-01-01,17.65,0.59,,200601
2006-02-01,17.28,0.41,,200602
2006-03-01,16.74,0.43,,200603
2006-04-01,16.19,0.21,,200604
2006-05-01,15.7,0.1,,200605
2006-06-01,15.18,-0.21,,200606
2006-07-01,14.98,0.19,,200607
2006-08-01,14.66,0.05,,200608
2006-09-01,14.17,0.21,,200609
2006-10-01,13.95,0.33,,200610
2006-11-01,13.65,0.31,,200611
2006-12-01,13.19,0.48,,200612
2007-01-01,13.13,0.44,,200701
2007-02-01,12.93,0.44,,200702
2007-03-01,12.74,0.37,,200703
2007-04-01,12.58,0.25,,200704
2007-05-01,12.43,0.28,,200705
2007-06-01,12.03,0.28,,200706
2007-07-01,11.73,0.24,,200707
2007-08-01,11.43,0.47,,200708
2007-09-01,11.22,0.18,,200709
2007-10-01,11.18,0.3,,200710
2007-11-01,11.18,0.38,,200711
2007-12-01,11.18,0.74,,200712
2008-01-01,11.18,0.54,,200801
2008-02-01,11.18,0.49,,200802
2008-03-01,11.18,0.48,,200803
2008-04-01,11.37,0.55,,200804
2008-05-01,11.63,0.79,,200805
2008-06-01,12.09,0.74,,200806
2008-07-01,12.36,0.53,,200807
2008-08-01,12.92,0.28,,200808
2008-09-01,13.39,0.26,,200809
2008-10-01,13.66,0.45,,200810
2008-11-01,13.64,0.36,,200811
2008-12-01,13.66,0.28,,200812
2009-01-01,13.32,0.48,,200901
2009-02-01,12.66,0.55,,200902
2009-03-01,11.7,0.2,,200903
2009-04-01,11.11,0.48,,200904
2009-05-01,10.16,0.47,,200905
2009-06-01,9.54,0.36,,200906
2009-07-01,9.01,0.24,,200907
2009-08-01,8.65,0.15,,200908
2009-09-01,8.65,0.24,,200909
2009-10-01,8.65,0.28,,200910
2009-11-01,8.65,0.41,,200911
2009-12-01,8.65,0.37,,200912
2010-01-01,8.65,0.75,,201001
2010-02-01,8.65,0.78,,201002
